date,close,fwd_1d,fwd_2d,fwd_4d,fwd_8d
2006-11-19,3852.8,2.544902408637867,3.7583056478405155,0.9304921096345424,5.181945598006649
2006-12-03,3997.6,-0.8905343205923515,-2.7253852311386737,-0.7804682809685772,3.7547528517110322
2007-02-11,4187.39,-0.9836676306721017,-5.933051375677948,-11.209607894177523,-10.39764626652881
2009-09-27,4958.95,2.509402191996287,-0.2772764395688654,0.7683078070962637,1.8854797890682562
2009-12-13,5117.3,-2.5325855431575235,1.193793602094857,2.4905711996560598,-7.035936919860092
2010-04-04,5290.5,1.3467536149702255,-0.5273603629146493,-0.23627256402986063,-4.233059257159056
2012-09-30,5703.3,0.7653463784125023,-0.4777935581154793,-0.6838146336331619,-1.3448354461452112
2013-01-27,6074.65,-1.246985423028491,-2.817446272624764,-3.6932168931543288,-6.968302700567094
2014-03-16,6504.2,-0.14298453307094405,2.9473263429783856,4.183450693398115,5.451861873866122
2014-04-06,6694.35,1.2241666479942097,1.2704743552398554,0.006722086535646099,8.000776774444105
2014-04-27,6782.75,-1.2966717039548854,1.1212266411116474,8.615237182558701,10.743430024695002
2014-08-31,7954.35,1.6657552156995763,1.9002181196452312,0.18229019341617914,0.7568185961140728
2014-09-14,8105.5,0.19677996422183242,-1.6858922953549893,-3.0294244648695354,2.856085374128668
2014-11-09,8337.0,0.6345208108432274,1.6834592779177342,2.414417656231265,0.7004917836151918
2016-09-11,8866.7,-0.979507595836111,-0.3964270811012085,-1.907135687459828,-4.882876380163992
2017-04-09,9198.3,-0.5163997695226215,-0.8577671961123201,0.9458269462835602,4.948740528141073
2017-06-11,9668.25,-0.8295193028728107,-0.9650143510976648,-0.025340676958094832,4.1181185840250265
2017-12-31,10530.7,0.26731366385899946,1.429629559288557,5.117893397399968,-0.37651818017796757
2018-08-12,11429.5,0.3609081762106854,1.1164092917450574,1.3963865435933371,-9.738396255304252
2019-04-07,11665.95,-0.19286899052370643,0.7444743034214838,0.3968815227220972,2.20170667626725
2021-06-13,15799.35,-0.7342074199254967,0.38609183289186433,-0.693382955627925,2.7776459158129967
2021-09-12,17369.25,1.2430012809994793,2.78624580796523,3.028052449011895,3.152410150121625
2022-11-20,18307.65,1.1202967065680127,2.1217906175833576,-0.2111139332464802,-1.917504431207746
2023-07-09,19331.8,1.2037161567986345,2.1374108981057134,0.9580070143494197,0.5353872893367253
2024-03-10,22493.55,-2.090377019189944,-1.7640612531147752,0.08958123550975472,-0.07868922424428604
2024-04-07,22513.7,0.025317917534664502,-1.6287860280629047,-0.16811985590996414,0.07550957861212737
2024-04-14,22519.4,-1.6536852669254074,-0.4416192260895002,-2.0613337833157175,3.422604509889254
2024-06-23,23501.1,2.1679836262983514,3.50089995787431,4.381922548306278,4.425537528030617
2024-07-21,24530.9,1.2390495252925717,0.761488571556697,0.04178403564483801,3.3655512027687564
2025-10-26,25795.15,-0.2831927707340469,-1.1740579139877099,1.0583384861107703,0.6638844899137837
